Engine;Input;Elapsed_time(ms)
ShExML-v0.2.7;q9;180017
ShExML-v0.2.7;q10;180014
ShExML-v0.2.7;q11;180016
ShExML-v0.2.7;q12;180016
sparql-generate-2.0.9;q9;1771
sparql-generate-2.0.9;q10;2238
sparql-generate-2.0.9;q11;3484
sparql-generate-2.0.9;q12;1507
rmlmapper-v4.12.0;q9;1681
rmlmapper-v4.12.0;q10;2086
rmlmapper-v4.12.0;q11;3298
rmlmapper-v4.12.0;q12;1248
sparql-anything-0.4.1;q9;1993
sparql-anything-0.4.1;q10;2741
sparql-anything-0.4.1;q11;3852
sparql-anything-0.4.1;q12;1611
ShExML-v0.5.1;q9;3500
ShExML-v0.5.1;q10;3882
ShExML-v0.5.1;q11;6471
ShExML-v0.5.1;q12;2753
sparql-generate-2.1.0;q9;2213
sparql-generate-2.1.0;q10;2628
sparql-generate-2.1.0;q11;3816
sparql-generate-2.1.0;q12;1967
rmlmapper-6.5.1;q9;3467
rmlmapper-6.5.1;q10;4123
rmlmapper-6.5.1;q11;5259
rmlmapper-6.5.1;q12;2787
sparql-anything-0.9.0;q9;1647
sparql-anything-0.9.0;q10;2884
sparql-anything-0.9.0;q11;4010
sparql-anything-0.9.0;q12;1791
