Engine;Input;Elapsed_time(ms)
ShExML-v0.2.7;10;1654
ShExML-v0.2.7;100;2713
ShExML-v0.2.7;1000;57127
ShExML-v0.2.7;10000;180017
ShExML-v0.2.7;100000;180024
ShExML-v0.2.7;1000000;180064
sparql-anything-0.4.1;10;1145
sparql-anything-0.4.1;100;1207
sparql-anything-0.4.1;1000;1359
sparql-anything-0.4.1;10000;2346
sparql-anything-0.4.1;100000;8140
sparql-anything-0.4.1;1000000;74924
rmlmapper-v4.12.0;10;881
rmlmapper-v4.12.0;100;983
rmlmapper-v4.12.0;1000;1183
rmlmapper-v4.12.0;10000;2156
rmlmapper-v4.12.0;100000;6542
rmlmapper-v4.12.0;1000000;52285
sparql-generate-2.0.9;10;1114
sparql-generate-2.0.9;100;1206
sparql-generate-2.0.9;1000;1431
sparql-generate-2.0.9;10000;2412
sparql-generate-2.0.9;100000;6469
sparql-generate-2.0.9;1000000;80734
ShExML-v0.5.1;10;1525
ShExML-v0.5.1;100;1644
ShExML-v0.5.1;1000;2158
ShExML-v0.5.1;10000;3543
ShExML-v0.5.1;100000;11158
ShExML-v0.5.1;1000000;69564
sparql-anything-0.9.0;10;1625
sparql-anything-0.9.0;100;1520
sparql-anything-0.9.0;1000;1744
sparql-anything-0.9.0;10000;2821
sparql-anything-0.9.0;100000;8624
sparql-anything-0.9.0;1000000;71299
rmlmapper-6.5.1;10;2517
rmlmapper-6.5.1;100;2406
rmlmapper-6.5.1;1000;2587
rmlmapper-6.5.1;10000;4289
rmlmapper-6.5.1;100000;9632
rmlmapper-6.5.1;1000000;82971
sparql-generate-2.1.0;10;1779
sparql-generate-2.1.0;100;1665
sparql-generate-2.1.0;1000;1901
sparql-generate-2.1.0;10000;2620
sparql-generate-2.1.0;100000;6543
sparql-generate-2.1.0;1000000;60203
