Hit;Engine;Elapsed_time(ms)
1;ShExML-v0.3.2.jar;2188032
1;ShExML-v0.3.3.jar;151370
2;ShExML-v0.3.3.jar;155051
3;ShExML-v0.3.3.jar;150752
4;ShExML-v0.3.3.jar;154404
5;ShExML-v0.3.3.jar;154841
6;ShExML-v0.3.3.jar;156387
7;ShExML-v0.3.3.jar;155933
8;ShExML-v0.3.3.jar;154285
9;ShExML-v0.3.3.jar;153988
10;ShExML-v0.3.3.jar;152845
11;ShExML-v0.3.3.jar;152585
12;ShExML-v0.3.3.jar;150610
13;ShExML-v0.3.3.jar;151071
14;ShExML-v0.3.3.jar;163204
15;ShExML-v0.3.3.jar;163861
16;ShExML-v0.3.3.jar;171430
17;ShExML-v0.3.3.jar;156717
18;ShExML-v0.3.3.jar;161030
19;ShExML-v0.3.3.jar;166972
20;ShExML-v0.3.3.jar;164310
21;ShExML-v0.3.3.jar;157835
22;ShExML-v0.3.3.jar;164430
23;ShExML-v0.3.3.jar;163964
24;ShExML-v0.3.3.jar;158411
25;ShExML-v0.3.3.jar;152461
26;ShExML-v0.3.3.jar;168401
27;ShExML-v0.3.3.jar;152700
28;ShExML-v0.3.3.jar;153996
29;ShExML-v0.3.3.jar;152998
30;ShExML-v0.3.3.jar;149673
1;ShExML-v0.4.0.jar;7381
2;ShExML-v0.4.0.jar;6757
3;ShExML-v0.4.0.jar;6950
4;ShExML-v0.4.0.jar;7349
5;ShExML-v0.4.0.jar;7446
6;ShExML-v0.4.0.jar;7274
7;ShExML-v0.4.0.jar;7604
8;ShExML-v0.4.0.jar;7320
9;ShExML-v0.4.0.jar;7533
10;ShExML-v0.4.0.jar;8094
11;ShExML-v0.4.0.jar;7959
12;ShExML-v0.4.0.jar;7603
13;ShExML-v0.4.0.jar;7935
14;ShExML-v0.4.0.jar;7261
15;ShExML-v0.4.0.jar;7400
16;ShExML-v0.4.0.jar;7480
17;ShExML-v0.4.0.jar;7488
18;ShExML-v0.4.0.jar;7140
19;ShExML-v0.4.0.jar;7309
20;ShExML-v0.4.0.jar;7273
21;ShExML-v0.4.0.jar;7471
22;ShExML-v0.4.0.jar;7308
23;ShExML-v0.4.0.jar;7372
24;ShExML-v0.4.0.jar;7306
25;ShExML-v0.4.0.jar;7393
26;ShExML-v0.4.0.jar;7183
27;ShExML-v0.4.0.jar;7297
28;ShExML-v0.4.0.jar;8132
29;ShExML-v0.4.0.jar;7728
30;ShExML-v0.4.0.jar;7279
1;ShExML-v0.4.2.jar;6611
2;ShExML-v0.4.2.jar;6220
3;ShExML-v0.4.2.jar;6167
4;ShExML-v0.4.2.jar;6254
5;ShExML-v0.4.2.jar;6278
6;ShExML-v0.4.2.jar;6354
7;ShExML-v0.4.2.jar;6482
8;ShExML-v0.4.2.jar;6172
9;ShExML-v0.4.2.jar;6052
10;ShExML-v0.4.2.jar;6095
11;ShExML-v0.4.2.jar;6123
12;ShExML-v0.4.2.jar;6359
13;ShExML-v0.4.2.jar;6232
14;ShExML-v0.4.2.jar;6229
15;ShExML-v0.4.2.jar;6173
16;ShExML-v0.4.2.jar;6208
17;ShExML-v0.4.2.jar;6416
18;ShExML-v0.4.2.jar;6117
19;ShExML-v0.4.2.jar;6268
20;ShExML-v0.4.2.jar;6134
21;ShExML-v0.4.2.jar;6243
22;ShExML-v0.4.2.jar;6270
23;ShExML-v0.4.2.jar;6246
24;ShExML-v0.4.2.jar;6315
25;ShExML-v0.4.2.jar;6080
26;ShExML-v0.4.2.jar;6237
27;ShExML-v0.4.2.jar;6419
28;ShExML-v0.4.2.jar;6018
29;ShExML-v0.4.2.jar;6099
30;ShExML-v0.4.2.jar;5997
1;ShExML-v0.5.1.jar;6080
2;ShExML-v0.5.1.jar;5512
3;ShExML-v0.5.1.jar;5634
4;ShExML-v0.5.1.jar;5652
5;ShExML-v0.5.1.jar;5653
6;ShExML-v0.5.1.jar;5530
7;ShExML-v0.5.1.jar;5665
8;ShExML-v0.5.1.jar;5890
9;ShExML-v0.5.1.jar;5526
10;ShExML-v0.5.1.jar;5776
11;ShExML-v0.5.1.jar;6124
12;ShExML-v0.5.1.jar;5417
13;ShExML-v0.5.1.jar;5453
14;ShExML-v0.5.1.jar;5387
15;ShExML-v0.5.1.jar;5384
16;ShExML-v0.5.1.jar;5283
17;ShExML-v0.5.1.jar;5626
18;ShExML-v0.5.1.jar;5332
19;ShExML-v0.5.1.jar;5710
20;ShExML-v0.5.1.jar;5594
21;ShExML-v0.5.1.jar;5620
22;ShExML-v0.5.1.jar;5648
23;ShExML-v0.5.1.jar;5655
24;ShExML-v0.5.1.jar;5454
25;ShExML-v0.5.1.jar;5690
26;ShExML-v0.5.1.jar;5536
27;ShExML-v0.5.1.jar;5430
28;ShExML-v0.5.1.jar;5703
29;ShExML-v0.5.1.jar;5372
30;ShExML-v0.5.1.jar;5719
