Hit;Engine;Elapsed_time(ms)
1;ShExML-v0.3.2.jar;28989
2;ShExML-v0.3.2.jar;33241
3;ShExML-v0.3.2.jar;34699
4;ShExML-v0.3.2.jar;32159
5;ShExML-v0.3.2.jar;29282
6;ShExML-v0.3.2.jar;32546
7;ShExML-v0.3.2.jar;29132
8;ShExML-v0.3.2.jar;27322
9;ShExML-v0.3.2.jar;26696
10;ShExML-v0.3.2.jar;27181
11;ShExML-v0.3.2.jar;30250
12;ShExML-v0.3.2.jar;30693
13;ShExML-v0.3.2.jar;31725
14;ShExML-v0.3.2.jar;33355
15;ShExML-v0.3.2.jar;31502
16;ShExML-v0.3.2.jar;30722
17;ShExML-v0.3.2.jar;29707
18;ShExML-v0.3.2.jar;31772
19;ShExML-v0.3.2.jar;32985
20;ShExML-v0.3.2.jar;32263
21;ShExML-v0.3.2.jar;30825
22;ShExML-v0.3.2.jar;30922
23;ShExML-v0.3.2.jar;30451
24;ShExML-v0.3.2.jar;32800
25;ShExML-v0.3.2.jar;29834
26;ShExML-v0.3.2.jar;28601
27;ShExML-v0.3.2.jar;28594
28;ShExML-v0.3.2.jar;28697
29;ShExML-v0.3.2.jar;29143
30;ShExML-v0.3.2.jar;28558
1;ShExML-v0.3.3.jar;19140
2;ShExML-v0.3.3.jar;18409
3;ShExML-v0.3.3.jar;18015
4;ShExML-v0.3.3.jar;18618
5;ShExML-v0.3.3.jar;17803
6;ShExML-v0.3.3.jar;17780
7;ShExML-v0.3.3.jar;18483
8;ShExML-v0.3.3.jar;18449
9;ShExML-v0.3.3.jar;19095
10;ShExML-v0.3.3.jar;21650
11;ShExML-v0.3.3.jar;19584
12;ShExML-v0.3.3.jar;19085
13;ShExML-v0.3.3.jar;18856
14;ShExML-v0.3.3.jar;18599
15;ShExML-v0.3.3.jar;17812
16;ShExML-v0.3.3.jar;18120
17;ShExML-v0.3.3.jar;17793
18;ShExML-v0.3.3.jar;18707
19;ShExML-v0.3.3.jar;19003
20;ShExML-v0.3.3.jar;21004
21;ShExML-v0.3.3.jar;20408
22;ShExML-v0.3.3.jar;20087
23;ShExML-v0.3.3.jar;19843
24;ShExML-v0.3.3.jar;18143
25;ShExML-v0.3.3.jar;22109
26;ShExML-v0.3.3.jar;18966
