Hit;Engine;Elapsed_time(s);CPU_user(s);CPU_kernel(s);CPU_Percentage;MaxMemory(Kbytes)
1;ShExML-v0.3.2;2195.95;2261.28;45.53;105%;1972528
1;ShExML-v0.3.3;151.52;164.25;3.03;110%;1021876
2;ShExML-v0.3.3;152.60;165.94;3.21;110%;1091080
3;ShExML-v0.3.3;153.50;167.26;3.38;111%;1084072
4;ShExML-v0.3.3;152.27;165.19;2.94;110%;1004104
5;ShExML-v0.3.3;151.31;164.71;3.12;110%;1056168
6;ShExML-v0.3.3;150.38;163.78;3.10;110%;1003704
7;ShExML-v0.3.3;152.00;164.86;3.13;110%;1074536
8;ShExML-v0.3.3;149.85;163.18;3.09;110%;1068196
9;ShExML-v0.3.3;149.02;163.52;3.04;111%;998232
10;ShExML-v0.3.3;145.70;158.03;3.15;110%;1145312
11;ShExML-v0.3.3;149.97;163.50;2.91;110%;1132320
12;ShExML-v0.3.3;148.10;161.47;2.85;110%;1005372
13;ShExML-v0.3.3;145.45;157.86;3.09;110%;992760
14;ShExML-v0.3.3;146.61;159.64;3.01;110%;1104720
15;ShExML-v0.3.3;146.25;159.25;3.03;110%;1121904
16;ShExML-v0.3.3;146.23;158.96;2.85;110%;1037160
17;ShExML-v0.3.3;147.91;161.36;2.74;110%;1105848
18;ShExML-v0.3.3;150.47;163.75;3.11;110%;1134544
19;ShExML-v0.3.3;150.66;165.14;2.76;111%;1112196
20;ShExML-v0.3.3;149.55;163.77;2.70;111%;1122712
21;ShExML-v0.3.3;150.63;163.44;3.04;110%;1158068
22;ShExML-v0.3.3;150.66;164.46;3.03;111%;1091240
23;ShExML-v0.3.3;151.63;165.39;2.70;110%;1088304
24;ShExML-v0.3.3;152.89;166.01;3.14;110%;978308
25;ShExML-v0.3.3;148.78;162.30;3.08;111%;1100936
26;ShExML-v0.3.3;148.70;161.76;3.41;111%;1010740
27;ShExML-v0.3.3;146.88;160.37;2.71;111%;1134108
28;ShExML-v0.3.3;146.60;159.66;2.76;110%;981408
29;ShExML-v0.3.3;146.57;158.70;3.08;110%;1135544
30;ShExML-v0.3.3;146.83;160.51;2.94;111%;1125156
1;ShExML-v0.4.0;6.73;17.32;0.51;264%;761776
2;ShExML-v0.4.0;6.49;16.75;0.54;266%;667352
3;ShExML-v0.4.0;6.62;16.96;0.61;265%;693872
4;ShExML-v0.4.0;6.81;18.28;0.57;276%;700708
5;ShExML-v0.4.0;7.05;18.56;0.55;270%;679484
6;ShExML-v0.4.0;7.19;19.45;0.54;278%;663396
7;ShExML-v0.4.0;7.28;19.37;0.57;273%;677716
8;ShExML-v0.4.0;7.79;20.54;0.50;269%;749788
9;ShExML-v0.4.0;7.30;18.98;0.58;267%;723244
10;ShExML-v0.4.0;7.46;19.82;0.71;275%;701504
11;ShExML-v0.4.0;6.94;18.52;0.41;272%;693980
12;ShExML-v0.4.0;7.89;21.37;0.67;279%;684916
13;ShExML-v0.4.0;7.51;20.02;0.50;273%;727760
14;ShExML-v0.4.0;8.89;23.19;0.70;268%;653796
15;ShExML-v0.4.0;7.85;20.05;0.51;261%;644996
16;ShExML-v0.4.0;7.73;20.56;0.58;273%;711628
17;ShExML-v0.4.0;7.93;20.77;0.96;274%;674692
18;ShExML-v0.4.0;8.35;21.88;0.91;273%;674656
19;ShExML-v0.4.0;8.15;20.74;0.83;264%;641100
20;ShExML-v0.4.0;6.94;18.87;0.57;280%;715144
21;ShExML-v0.4.0;6.96;18.41;0.63;273%;707944
22;ShExML-v0.4.0;7.33;18.84;0.57;264%;697640
23;ShExML-v0.4.0;7.08;18.66;0.40;268%;687716
24;ShExML-v0.4.0;6.87;18.01;0.55;270%;642328
25;ShExML-v0.4.0;6.85;18.06;0.55;271%;705872
26;ShExML-v0.4.0;6.62;17.41;0.48;270%;672464
27;ShExML-v0.4.0;7.31;18.92;0.46;264%;675980
28;ShExML-v0.4.0;6.84;17.78;0.41;266%;673848
29;ShExML-v0.4.0;6.93;17.95;0.44;265%;629764
30;ShExML-v0.4.0;6.88;17.82;0.54;266%;738488
1;ShExML-v0.4.2;6.33;15.88;0.50;258%;681568
2;ShExML-v0.4.2;5.76;14.02;0.60;253%;637456
3;ShExML-v0.4.2;5.88;13.78;0.46;241%;664572
4;ShExML-v0.4.2;5.72;13.71;0.48;247%;656456
5;ShExML-v0.4.2;6.14;15.27;0.52;257%;695960
6;ShExML-v0.4.2;6.38;16.04;0.46;258%;672808
7;ShExML-v0.4.2;6.34;14.58;0.54;238%;659504
8;ShExML-v0.4.2;6.01;15.00;0.54;258%;686612
9;ShExML-v0.4.2;5.96;14.36;0.49;249%;655456
10;ShExML-v0.4.2;6.18;15.18;0.43;252%;690444
11;ShExML-v0.4.2;6.26;14.96;0.42;245%;627304
12;ShExML-v0.4.2;6.33;15.20;0.48;247%;692672
13;ShExML-v0.4.2;6.09;14.50;0.59;247%;687424
14;ShExML-v0.4.2;5.75;13.94;0.39;249%;647656
15;ShExML-v0.4.2;6.23;14.77;0.49;244%;703488
16;ShExML-v0.4.2;6.27;15.55;0.49;255%;698760
17;ShExML-v0.4.2;6.12;15.22;0.48;256%;682664
18;ShExML-v0.4.2;5.85;13.92;0.58;247%;698660
19;ShExML-v0.4.2;6.23;15.29;0.49;253%;689012
20;ShExML-v0.4.2;6.67;15.93;0.63;248%;677272
21;ShExML-v0.4.2;6.65;15.94;0.57;248%;665652
22;ShExML-v0.4.2;6.10;14.48;0.58;246%;695516
23;ShExML-v0.4.2;6.25;15.22;0.44;250%;671984
24;ShExML-v0.4.2;5.90;14.03;0.46;245%;691152
25;ShExML-v0.4.2;6.14;14.34;0.63;243%;687364
26;ShExML-v0.4.2;6.41;15.68;0.46;251%;634928
27;ShExML-v0.4.2;6.51;15.88;0.53;252%;688864
28;ShExML-v0.4.2;6.13;14.24;0.56;241%;702272
29;ShExML-v0.4.2;6.36;14.84;0.53;241%;718052
30;ShExML-v0.4.2;5.90;14.59;0.45;254%;713664
1;ShExML-v0.5.1;5.32;12.96;0.47;252%;421024
2;ShExML-v0.5.1;5.41;14.07;0.33;266%;443788
3;ShExML-v0.5.1;5.44;13.21;0.47;251%;492988
4;ShExML-v0.5.1;5.67;15.02;0.40;271%;426436
5;ShExML-v0.5.1;5.29;13.75;0.48;268%;431516
6;ShExML-v0.5.1;5.33;13.91;0.36;267%;496596
7;ShExML-v0.5.1;5.21;13.56;0.34;266%;457044
8;ShExML-v0.5.1;5.16;12.83;0.34;255%;457844
9;ShExML-v0.5.1;5.09;12.86;0.24;257%;432276
10;ShExML-v0.5.1;5.27;13.21;0.45;259%;459136
11;ShExML-v0.5.1;5.21;13.09;0.48;260%;484180
12;ShExML-v0.5.1;5.20;12.81;0.39;253%;464320
13;ShExML-v0.5.1;5.44;14.20;0.41;268%;456096
