Hit;Engine;Elapsed_time(s);CPU_user(s);CPU_kernel(s);CPU_Percentage;MaxMemory(Kbytes)
1;ShExML-v0.3.2;107.54;114.19;1.23;107%;434820
2;ShExML-v0.3.2;103.18;110.10;1.10;107%;456072
3;ShExML-v0.3.2;97.16;103.99;0.95;108%;432536
4;ShExML-v0.3.2;100.75;107.45;1.10;107%;443996
5;ShExML-v0.3.2;98.30;105.11;0.91;107%;502536
6;ShExML-v0.3.2;97.43;104.50;1.09;108%;487128
7;ShExML-v0.3.2;98.68;105.23;0.98;107%;415636
8;ShExML-v0.3.2;101.06;108.27;1.13;108%;437248
9;ShExML-v0.3.2;107.38;114.84;1.05;107%;469616
10;ShExML-v0.3.2;99.99;106.95;1.06;108%;433032
11;ShExML-v0.3.2;100.73;107.46;1.10;107%;454644
12;ShExML-v0.3.2;117.18;125.72;1.13;108%;435412
13;ShExML-v0.3.2;113.41;121.51;1.14;108%;445080
14;ShExML-v0.3.2;105.37;112.11;1.05;107%;430440
15;ShExML-v0.3.2;103.74;110.52;1.03;107%;433992
16;ShExML-v0.3.2;103.35;110.29;1.23;107%;441824
17;ShExML-v0.3.2;106.21;113.28;1.13;107%;432552
18;ShExML-v0.3.2;106.26;113.96;1.00;108%;487264
19;ShExML-v0.3.2;104.08;112.13;0.87;108%;436156
20;ShExML-v0.3.2;103.25;110.43;0.86;107%;441136
21;ShExML-v0.3.2;105.52;112.80;1.18;108%;440280
22;ShExML-v0.3.2;107.45;114.51;1.08;107%;438924
23;ShExML-v0.3.2;107.22;114.91;0.74;107%;435060
24;ShExML-v0.3.2;104.61;111.89;1.07;107%;440856
25;ShExML-v0.3.2;104.49;111.68;0.99;107%;479932
26;ShExML-v0.3.2;104.55;111.43;0.99;107%;438180
27;ShExML-v0.3.2;106.29;113.02;1.11;107%;439976
28;ShExML-v0.3.2;107.18;115.62;0.91;108%;460400
29;ShExML-v0.3.2;102.96;111.01;1.01;108%;490576
30;ShExML-v0.3.2;105.79;112.83;1.05;107%;468948
1;ShExML-v0.3.3;28.24;33.73;0.58;121%;462340
2;ShExML-v0.3.3;26.98;32.29;0.47;121%;460116
3;ShExML-v0.3.3;27.24;32.57;0.50;121%;473812
4;ShExML-v0.3.3;27.02;32.34;0.54;121%;460280
5;ShExML-v0.3.3;25.40;30.38;0.54;121%;479768
6;ShExML-v0.3.3;25.36;30.27;0.41;121%;452100
7;ShExML-v0.3.3;26.22;31.01;0.63;120%;502620
8;ShExML-v0.3.3;27.98;33.55;0.53;121%;419384
9;ShExML-v0.3.3;26.71;31.99;0.47;121%;468476
10;ShExML-v0.3.3;26.96;32.17;0.54;121%;467296
11;ShExML-v0.3.3;26.84;32.17;0.49;121%;462036
12;ShExML-v0.3.3;26.62;31.80;0.53;121%;451816
13;ShExML-v0.3.3;26.17;31.28;0.53;121%;450368
14;ShExML-v0.3.3;26.47;31.80;0.53;122%;449580
15;ShExML-v0.3.3;25.83;31.02;0.44;121%;476016
16;ShExML-v0.3.3;27.49;33.08;0.59;122%;466716
17;ShExML-v0.3.3;25.84;31.08;0.46;122%;463788
18;ShExML-v0.3.3;26.34;31.47;0.60;121%;481872
19;ShExML-v0.3.3;27.39;32.63;0.39;120%;459916
20;ShExML-v0.3.3;26.40;31.68;0.67;122%;484976
21;ShExML-v0.3.3;25.95;31.01;0.46;121%;497936
22;ShExML-v0.3.3;26.64;31.93;0.53;121%;455380
23;ShExML-v0.3.3;25.53;30.37;0.53;121%;448516
24;ShExML-v0.3.3;26.81;32.09;0.51;121%;455372
25;ShExML-v0.3.3;27.18;32.59;0.63;122%;480784
26;ShExML-v0.3.3;25.53;30.40;0.67;121%;491196
27;ShExML-v0.3.3;25.70;30.50;0.49;120%;449972
28;ShExML-v0.3.3;27.61;32.78;0.72;121%;449612
29;ShExML-v0.3.3;26.89;32.17;0.53;121%;436564
30;ShExML-v0.3.3;26.24;31.38;0.59;121%;434968
1;ShExML-v0.4.0;21.36;26.46;0.37;125%;373432
2;ShExML-v0.4.0;21.05;26.11;0.40;125%;351884
3;ShExML-v0.4.0;22.55;27.89;0.49;125%;361624
4;ShExML-v0.4.0;22.43;27.88;0.44;126%;313932
5;ShExML-v0.4.0;21.94;27.64;0.42;127%;345848
6;ShExML-v0.4.0;21.84;27.06;0.59;126%;321560
7;ShExML-v0.4.0;21.70;26.97;0.47;126%;376128
8;ShExML-v0.4.0;20.70;25.99;0.40;127%;352416
