Hit;Engine;Elapsed_time(ms)
1;ShExML-v0.3.2.jar;107904
2;ShExML-v0.3.2.jar;106643
3;ShExML-v0.3.2.jar;104174
4;ShExML-v0.3.2.jar;105024
5;ShExML-v0.3.2.jar;109279
6;ShExML-v0.3.2.jar;107027
7;ShExML-v0.3.2.jar;106646
8;ShExML-v0.3.2.jar;110175
9;ShExML-v0.3.2.jar;114439
10;ShExML-v0.3.2.jar;112878
11;ShExML-v0.3.2.jar;111396
12;ShExML-v0.3.2.jar;114380
13;ShExML-v0.3.2.jar;111618
14;ShExML-v0.3.2.jar;116135
15;ShExML-v0.3.2.jar;104626
16;ShExML-v0.3.2.jar;101312
17;ShExML-v0.3.2.jar;102424
18;ShExML-v0.3.2.jar;116927
19;ShExML-v0.3.2.jar;102996
20;ShExML-v0.3.2.jar;101489
21;ShExML-v0.3.2.jar;104127
22;ShExML-v0.3.2.jar;103163
23;ShExML-v0.3.2.jar;100762
24;ShExML-v0.3.2.jar;101842
25;ShExML-v0.3.2.jar;101467
26;ShExML-v0.3.2.jar;103597
27;ShExML-v0.3.2.jar;101044
28;ShExML-v0.3.2.jar;108078
29;ShExML-v0.3.2.jar;117625
30;ShExML-v0.3.2.jar;111373
1;ShExML-v0.3.3.jar;26788
2;ShExML-v0.3.3.jar;27835
3;ShExML-v0.3.3.jar;28046
4;ShExML-v0.3.3.jar;28271
5;ShExML-v0.3.3.jar;27917
6;ShExML-v0.3.3.jar;28182
7;ShExML-v0.3.3.jar;27620
8;ShExML-v0.3.3.jar;26359
9;ShExML-v0.3.3.jar;26184
10;ShExML-v0.3.3.jar;26469
11;ShExML-v0.3.3.jar;26148
12;ShExML-v0.3.3.jar;26333
13;ShExML-v0.3.3.jar;26266
14;ShExML-v0.3.3.jar;27131
15;ShExML-v0.3.3.jar;26390
16;ShExML-v0.3.3.jar;26240
17;ShExML-v0.3.3.jar;27185
18;ShExML-v0.3.3.jar;26645
19;ShExML-v0.3.3.jar;26316
20;ShExML-v0.3.3.jar;26276
21;ShExML-v0.3.3.jar;26303
22;ShExML-v0.3.3.jar;26357
23;ShExML-v0.3.3.jar;26474
24;ShExML-v0.3.3.jar;26539
25;ShExML-v0.3.3.jar;26230
26;ShExML-v0.3.3.jar;26269
27;ShExML-v0.3.3.jar;26311
28;ShExML-v0.3.3.jar;26144
29;ShExML-v0.3.3.jar;26301
30;ShExML-v0.3.3.jar;26199
1;ShExML-v0.4.0.jar;21242
2;ShExML-v0.4.0.jar;21318
3;ShExML-v0.4.0.jar;24986
4;ShExML-v0.4.0.jar;24336
5;ShExML-v0.4.0.jar;24300
6;ShExML-v0.4.0.jar;26207
7;ShExML-v0.4.0.jar;23159
8;ShExML-v0.4.0.jar;23779
9;ShExML-v0.4.0.jar;22588
10;ShExML-v0.4.0.jar;21938
11;ShExML-v0.4.0.jar;23145
12;ShExML-v0.4.0.jar;24783
13;ShExML-v0.4.0.jar;23747
14;ShExML-v0.4.0.jar;23081
15;ShExML-v0.4.0.jar;23821
16;ShExML-v0.4.0.jar;22713
17;ShExML-v0.4.0.jar;22182
18;ShExML-v0.4.0.jar;21726
19;ShExML-v0.4.0.jar;24211
20;ShExML-v0.4.0.jar;23003
21;ShExML-v0.4.0.jar;24637
22;ShExML-v0.4.0.jar;23235
23;ShExML-v0.4.0.jar;21855
24;ShExML-v0.4.0.jar;21097
25;ShExML-v0.4.0.jar;21207
26;ShExML-v0.4.0.jar;21127
27;ShExML-v0.4.0.jar;20980
28;ShExML-v0.4.0.jar;21030
29;ShExML-v0.4.0.jar;21193
30;ShExML-v0.4.0.jar;20995
1;ShExML-v0.4.2.jar;20901
2;ShExML-v0.4.2.jar;21830
3;ShExML-v0.4.2.jar;21296
4;ShExML-v0.4.2.jar;21103
5;ShExML-v0.4.2.jar;21089
6;ShExML-v0.4.2.jar;21240
7;ShExML-v0.4.2.jar;21034
8;ShExML-v0.4.2.jar;20770
9;ShExML-v0.4.2.jar;20904
10;ShExML-v0.4.2.jar;21119
11;ShExML-v0.4.2.jar;20875
12;ShExML-v0.4.2.jar;20848
13;ShExML-v0.4.2.jar;20942
14;ShExML-v0.4.2.jar;21150
15;ShExML-v0.4.2.jar;21360
16;ShExML-v0.4.2.jar;20971
17;ShExML-v0.4.2.jar;20952
18;ShExML-v0.4.2.jar;20850
19;ShExML-v0.4.2.jar;21351
20;ShExML-v0.4.2.jar;22924
21;ShExML-v0.4.2.jar;21516
22;ShExML-v0.4.2.jar;21006
23;ShExML-v0.4.2.jar;21293
24;ShExML-v0.4.2.jar;22923
25;ShExML-v0.4.2.jar;22906
26;ShExML-v0.4.2.jar;23206
27;ShExML-v0.4.2.jar;22418
28;ShExML-v0.4.2.jar;24324
29;ShExML-v0.4.2.jar;22342
30;ShExML-v0.4.2.jar;22440
1;ShExML-v0.5.1.jar;4825
